CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=5, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=4, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=8, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8002, OP=INSERT, STATUS=STARTING
CLIENT=9, SERVER=localhost:8002, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=10, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8003, OP=INSERT, STATUS=STARTING
CLIENT=9, SERVER=localhost:8003, OP=INSERT, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=4, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8003, OP=INSERT, STATUS=STARTING
CLIENT=5, SERVER=localhost:8003, OP=INSERT, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=9, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8002, OP=INSERT, STATUS=STARTING
CLIENT=4, SERVER=localhost:8002, OP=INSERT, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8003, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8003, OP=INSERT, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=4, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8004, OP=INSERT, STATUS=STARTING
CLIENT=7, SERVER=localhost:8004, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=9, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=8, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8003, OP=INSERT, STATUS=STARTING
CLIENT=3, SERVER=localhost:8003, OP=INSERT, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8004, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8004, OP=INSERT, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=4, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8003, OP=INSERT, STATUS=STARTING
CLIENT=10, SERVER=localhost:8003, OP=INSERT, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=5, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=7, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=4, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8003, OP=DELETE, STATUS=STARTING
CLIENT=6, SERVER=localhost:8003, OP=DELETE, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8004, OP=INSERT, STATUS=STARTING
CLIENT=10, SERVER=localhost:8004, OP=INSERT, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=8, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=10, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=3, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=4, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=4, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8002, OP=DELETE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8002, OP=DELETE, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=9, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8004, OP=INSERT, STATUS=STARTING
CLIENT=4, SERVER=localhost:8004, OP=INSERT, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=10, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=6, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=6, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8003, OP=INSERT, STATUS=STARTING
CLIENT=4, SERVER=localhost:8003, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=STARTING
CLIENT=2, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8002, OP=READ, STATUS=FINISHING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=8, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=READ, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=READ, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=STARTING
CLIENT=5, SERVER=localhost:8003, OP=READ, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8000, OP=READ, STATUS=STARTING
CLIENT=3, SERVER=localhost:8000, OP=READ, STATUS=FINISHING
CLIENT=10, SERVER=localhost:8004, OP=INSERT, STATUS=STARTING
CLIENT=10, SERVER=localhost:8004, OP=INSERT, STATUS=FINISHING
CLIENT=9, SERVER=localhost:8002, OP=INSERT, STATUS=STARTING
CLIENT=9, SERVER=localhost:8002, OP=INSERT, STATUS=FINISHING
CLIENT=7, SERVER=localhost:8004, OP=READ, STATUS=STARTING
CLIENT=7, SERVER=localhost:8004, OP=READ, STATUS=FINISHING
CLIENT=4, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=4, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=5, SERVER=localhost:8003, OP=INSERT, STATUS=STARTING
CLIENT=5, SERVER=localhost:8003, OP=INSERT, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=3, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
