CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=DELETE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=3, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=3, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=3, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=DELETE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=DELETE, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=3, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=3, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=DELETE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=DELETE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=WRITE, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=INSERT, STATUS=STARTING
CLIENT=3, SERVER=localhost:8001, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=2, SERVER=localhost:8001, OP=WRITE, STATUS=FINISHING
CLIENT=3, SERVER=localhost:8001, OP=WRITE, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=STARTING
CLIENT=1, SERVER=localhost:8000, OP=INSERT, STATUS=FINISHING
CLIENT=2, SERVER=localhost:8000, OP=WRITE, STATUS=STARTING
